molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL367415,N#Cc1c(Cl)cccc1-c1cccc(C(=O)CC(=O)C(=O)O)c1,110.0,active
CHEMBL178973,N#Cc1c(Cl)cc(Cl)cc1-c1cccc(C(=O)CC(=O)C(=O)O)c1,45.0,intermediate
CHEMBL411714,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](N)CCCCN)C(C)C)C(C)C)[C@@H](C)CC)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC,5700.0,intermediate
CHEMBL409509,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(C)=O)C(C)C)C(C)C)[C@@H](C)CC)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC,3400.0,inactive
CHEMBL370975,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](O)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,1000000.0,inactive
CHEMBL189885,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Oc2ccccc2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,79432.82,inactive
CHEMBL372008,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Oc2ccc(F)cc2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,100000.0,inactive
CHEMBL190813,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Oc2ccc(Cl)cc2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,50118.72,inactive
CHEMBL370243,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Oc2ccc(Br)cc2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,25118.86,inactive
CHEMBL195662,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Oc2ccc(I)cc2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,10000.0,inactive
CHEMBL372230,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Sc2ccc(Br)cc2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,39810.72,inactive
CHEMBL193263,CC(=O)N[C@H](C(=O)N[C@H](C(=O)C1C[C@H](Oc2cccc(Br)c2)C[C@H]1C(=O)CC1(C(=O)O)CC1)C(C)C)C1CCCCC1,50118.72,inactive
